"country","V5","V6","V7","V8","V9","V10","V11","V23","V24","V55","V59","V67","V69","V70","V71","V72","V73","V76","V77","V78","V79","V108","V110","V111","V113","V114","V115","V117","V119","V120","V121","V122","V123","V124","V131","V132","V133","V134","V136","V137","V138","V139","V97","V98","V99","V100","V101","V140","V143","V150","V151","V153","V155","V156","V170"
"Algeria",1.76282590412111,2.05245346869712,2.71943711521548,1.3857998289136,1.11818943839061,2.05555555555556,2.19442096365173,6.30102915951973,1.8207136640557,6.66494401378122,5.98812553011026,2.27034358047016,1.5957249070632,2.72926162260711,3.09498680738786,1.85391304347826,2.29567519858782,3.43766816143498,2.66666666666667,2.61883408071749,1.94367417677643,1.91525423728814,2.81363636363636,2.59502664298401,2.32541776605101,2.52153558052434,2.70190476190476,3.02087682672234,2.47417840375587,2.70137524557957,2.62237762237762,2.80446333687566,2.90266393442623,2.60559305689489,5.57253384912959,5.09840954274354,8.1150527325024,7.21863117870722,7.58482613277134,6.73586744639376,5.78218780251694,7.37068965517241,5.99355432780847,3.52249134948097,3.45323741007194,4.08861859252824,5.58997314234557,8.11769991015274,2.02897278314311,1.38483412322275,1.44294003868472,1.31865284974093,3.29530818767249,2.81440162271805,1.8871925360475
"Argentina",1.57003891050584,1.8701171875,2.88090551181102,1.58045409674235,2.45158102766798,1.81943081452404,2.046875,7.47647058823529,1.76807228915663,7.37760158572844,6.44564152791381,2.36139630390144,1.51085832471562,2.54554455445545,4.47337278106509,3.51873767258383,2.81379310344828,3.63996043521266,2.78402366863905,2.69033530571992,2.73300492610837,2.56385068762279,2.77406281661601,2.81422924901186,3.06784660766962,3.15004935834156,2.8980198019802,3.00406504065041,2.14056224899598,2.83955600403633,2.93881644934804,2.44224422442244,2.62382075471698,2.30535152151102,5.707,3.81761658031088,8.56590683845391,6.97026759167493,7.41787941787942,6.32067932067932,6.22654690618762,8.60852329038652,6.21290322580645,4.8841778697001,4.71001031991744,4.21641025641026,5.86568730325289,8.65358194308145,2.29330708661417,1.8347280334728,1.78964059196617,2.99564270152505,2.90818584070796,2.12141280353201,2.37864077669903
"Armenia",1.76438356164384,1.95903165735568,2.91216834400732,1.37338262476895,1.53139217470428,1.91758241758242,2.72404371584699,5.22627737226277,1.89861751152074,6.36011342155009,4.26411657559199,2.70144927536232,1.52651880424301,2.99906629318394,4.25591985428051,2.09480401093892,4.45471180237877,3.9605504587156,2.29653284671533,2.71177015755329,2.09554140127389,1.78538390379278,2.90900562851782,2.80733944954128,2.81998114985862,2.93803622497617,2.79225684608121,3.02186311787072,2.43349753694581,2.74972677595628,2.40058195926285,2.63847045191194,2.70581113801453,2.49561403508772,7.46763285024155,3.55642458100559,8.5057361376673,8.30355427473583,7.86497461928934,6.28657921291625,7.08777120315582,7.9721689059501,6.26988636363636,2.98621323529412,3.36666666666667,3.8886827458256,6.34226190476191,8.55954631379962,1.39761248852158,1.70433905146317,1.85395537525355,2.61311475409836,3.22350674373796,2.50394588500564,1.80127620783956
"Australia",1.47545582047686,1.67065446868403,2.48256227758007,1.96590909090909,2.82464788732394,1.69672131147541,1.95767918088737,7.38235294117647,1.45566166439291,7.8067169294037,6.61480466072653,1.83449720670391,1.43393602225313,2.96814404432133,4.67449896337249,2.64709944751381,3.89917127071823,4.14581893572909,2.75345303867403,2.61474844934528,3.34273916035788,2.79586206896552,3.02979902979903,2.96260387811634,1.87878787878788,2.29930555555556,2.8335635359116,2.80194579569145,2.00968858131488,2.53765690376569,2.66298342541436,2.40499306518724,2.283540802213,2.14187327823691,6.09307207837649,2.25279329608939,8.98890429958391,6.29951355107714,7.70090845562544,3.6986013986014,5.0951048951049,9.02143845089903,4.73130193905817,5.74930939226519,3.2543192812716,3.66161268090972,6.18771566597654,9.11203319502075,1.85870307167235,1.77432712215321,1.75504523312457,3.23280055594163,2.71977638015374,1.79608938547486,1.78932968536252
"Azerbaijan",1.79141716566866,2.124750499002,2.92614770459082,1.49600798403194,2.03992015968064,1.94211576846307,2.26147704590818,6.74051896207585,1.83350462487153,7.27345309381238,5.605,2.45371312309257,1.34210526315789,3.187624750499,3.63173652694611,2.68662674650699,3.21556886227545,3.93013972055888,2.45808383233533,2.84131736526946,1.82634730538922,2.72055888223553,2.60279441117764,2.36626746506986,2.34830339321357,2.38622754491018,1.82335329341317,2.23053892215569,2.19560878243513,2.44510978043912,2.36127744510978,2.63972055888224,2.57285429141717,2.67764471057884,6.812375249501,3.6437125748503,7.41816367265469,7.51197604790419,7.3622754491018,6.73253493013972,5.79041916167665,7.02794411177645,5.136,5.14471057884232,4.28243512974052,6.46506986027944,7.04395604395604,8.03692614770459,1.70159680638723,1.70059880239521,1.61576846307385,2.77087794432548,2.98752598752599,2.16595289079229,1.72945891783567
"Belarus",1.72536136662286,1.88822751322751,2.81782178217822,1.83563445101907,2.53100263852243,2.23707787732598,2.72853368560106,5.80013063357283,1.64834390415786,6.20469361147327,4.79150326797386,2.31606557377049,1.57659434582512,3.29177545691906,3.70999346832136,2.81544502617801,3.70464963981663,4.05039267015707,2.83115183246073,2.97972531066056,2.56666666666667,2.04057591623037,2.72287581699346,2.59869281045752,2.48201438848921,2.44502617801047,2.41977734119188,2.56060606060606,2.09717662508207,2.44247205785667,2.50362080315997,2.27818061964403,2.40318302387268,2.31749174917492,5.75871137409599,3.91447368421053,7.87310979618672,6.8422090729783,7.40105193951348,6.22793148880105,5.37071240105541,7.48389217619987,5.00130718954248,3.90731070496084,3.98432397126061,4.49477806788512,6.01131071190951,7.48005232177894,1.9064796259185,1.77513227513228,1.81091877496671,2.99462365591398,2.66281755196305,1.88663017982799,1.90057636887608
"Brazil",1.85569790964262,1.81351351351351,2.75186440677966,1.39312204989885,1.59568733153639,1.73939393939394,2.09360269360269,7.8509777478085,1.93423728813559,7.67075664621677,6.21077441077441,2.27892561983471,1.28992460589445,2.60449285228046,4.87889039242219,1.94252873563218,2.6339648173207,4.28156650911546,2.35155195681511,2.1041948579161,2.48550236008092,2.18070652173913,2.733469665985,2.83141503046716,2.78175675675676,2.62997974341661,2.85044187627464,3.29703652653343,2.0970200970201,2.44390581717452,2.61611374407583,2.3554933519944,2.33571939871152,2.38101884159107,4.52170713760118,4.01519756838906,8.37779379956741,7.57910014513788,7.82763744427935,5.82545454545455,5.24584237165582,8.48739495798319,5.27145847871598,3.97959183673469,3.75231316725979,4.21834360027379,7.58786610878661,8.04755244755245,1.70415814587594,1.87361878453039,1.72109320252277,2.55448480355819,2.15421853388658,1.92173305380853,2.32589587559162
"Chile",1.87158746208291,1.53931451612903,3.06477732793522,1.54153846153846,2.29737903225806,1.91574724172518,2.11611611611612,7.26923076923077,1.87229660144181,7.18245967741935,5.99799398194584,1.87622149837134,1.45652173913043,2.48959474260679,3.89718614718615,1.92640692640693,2.30636461704423,3.59628008752735,2.67211328976035,2.56768558951965,2.55917480998914,2.38321536905966,2.48832487309645,2.42467138523761,2.25176946410516,2.951269035533,2.86294416243655,3.02249488752556,2.32751540041068,2.86938775510204,2.81836734693878,2.23395445134576,2.18478260869565,2.20418848167539,7.01518438177874,3.78571428571429,8.84984358706986,7.58995815899582,6.97021764032073,7.03422459893048,7.54682454251884,8.55753138075314,6.8252427184466,4.24387755102041,4.11819116135663,4.83061224489796,6.05693581780538,8.53001017293998,1.93299492385787,1.7928870292887,1.61639344262295,2.73591549295775,2.16608187134503,1.91299435028249,2.34387755102041
"China",1.59670964873277,2.05275125056844,2.5436018957346,1.80209758321933,3.38136826783115,1.99383802816901,2.15711159737418,6.85834813499112,1.35564663023679,7.1369926199262,6.21603563474387,2.34271217712177,1.74640911342249,3.37006427915519,3.42561983471074,2.68773062730627,3.87644608977325,4.15828334102446,3.1431218156554,2.82616736014794,2.89824236817761,3.02820512820513,2.18033622007132,2.13536047081903,2.09450337512054,1.9827245804541,1.67715784453982,1.81818181818182,1.87322515212982,2.23446019629226,1.9453164556962,2.08256315465188,2.03686934023286,2.17554240631164,7.22222222222222,3.00860479409957,7.48210526315789,8.1890243902439,8.41427104722793,7.78942014242116,6.59001097694841,8.6925777331996,5.74275546517539,4.64437117286858,3.65393682225365,3.70735155513666,6.95115681233933,8.43653100775194,2.46946386946387,1.79847328244275,1.70343137254902,3.48713550600343,3.22658610271903,2.85433526011561,2.07721822541966
"Colombia",2.0112582781457,1.66490066225166,3.02458471760797,1.25827814569536,1.59232296492389,1.52349437458637,1.99470549305096,8.38822751322751,1.95869420386409,8.1599203715992,6.69688947716744,2.27620967741935,1.19692923898531,2.4184350132626,4.39801324503311,1.82847682119205,2.60809018567639,3.85856573705179,2.24701195219123,1.74238410596026,2.04509283819629,1.83145321831453,2.78989361702128,2.76728723404255,2.61579296615793,2.87709872397582,2.74933333333333,3.2092866756393,1.98525469168901,2.29364548494983,2.50668449197861,2.00672947510094,2,2.01212938005391,5.64242012236574,4.56992269852424,7.39470108695652,5.89315068493151,6.3696925329429,4.81116471399035,5.87278911564626,7.88866396761134,5.64652777777778,4.69919786096257,4.23128342245989,4.80856760374833,7.42732166890983,8.12918340026774,1.60252996005326,1.87491638795987,1.81934184016118,2.32262474367738,2.29945799457995,2.13769597818678,2.01324503311258
