Country,Category,Price (USD),Relative Cost (%) to Sweden
Afghanistan,"Meal, Inexpensive Restaurant",2.25,-87.5
Afghanistan,"Meal for 2 People, Mid-range Restaurant, Three-course",9.5,-87.5
Afghanistan,McMeal at McDonalds (or Equivalent Combo Meal),3.75,-87.5
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter draught),3.0,-87.5
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),7.5,-87.5
Afghanistan,Cappuccino (regular),1.12,-87.5
Afghanistan,Coke/Pepsi (0.33 liter bottle),0.43,-87.5
Afghanistan,Water (0.33 liter bottle),0.19,-87.5
Afghanistan,"Milk (regular), (1 liter)",0.78,-87.5
Afghanistan,Loaf of Fresh White Bread (500g),0.26,-87.5
Afghanistan,"Rice (white), (1kg)",1.78,-87.5
Afghanistan,Eggs (regular) (12),1.64,-87.5
Afghanistan,Local Cheese (1kg),3.94,-87.5
Afghanistan,Chicken Fillets (1kg),3.53,-87.5
Afghanistan,Beef Round (1kg) (or Equivalent Back Leg Red Meat),6.22,-87.5
Afghanistan,Apples (1kg),0.65,-87.5
Afghanistan,Banana (1kg),0.89,-87.5
Afghanistan,Oranges (1kg),0.97,-87.5
Afghanistan,Tomato (1kg),0.59,-87.5
Afghanistan,Potato (1kg),0.4,-87.5
Afghanistan,Onion (1kg),0.36,-87.5
Afghanistan,Lettuce (1 head),0.31,-87.5
Afghanistan,Water (1.5 liter bottle),0.34,-87.5
Afghanistan,Bottle of Non-Alcoholic Wine (Mid-Range),3.75,-87.5
Afghanistan,Domestic Non-Alcoholic Beer (0.5 liter bottle),0.79,-87.5
Afghanistan,Imported Non-Alcoholic Beer (0.33 liter bottle),1.65,-87.5
Afghanistan,Cigarettes 20 Pack (Marlboro),1.87,-87.5
Afghanistan,One-way Ticket (Local Transport),0.3,-87.5
Afghanistan,Monthly Pass (Regular Price),10.5,-87.5
Afghanistan,Taxi Start (Normal Tariff),0.75,-87.5
Afghanistan,Taxi 1km (Normal Tariff),0.97,-87.5
Afghanistan,Taxi 1hour Waiting (Normal Tariff),1.5,-87.5
Afghanistan,Gasoline (1 liter),1.11,-87.5
Afghanistan,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),8621.33,-87.5
Afghanistan,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),41982.12,-87.5
Afghanistan,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",104.39,-87.5
Afghanistan,Mobile Phone Monthly Plan with Calls and 10GB+ Data,15.73,-87.5
Afghanistan,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",174.93,-87.5
Afghanistan,"Fitness Club, Monthly Fee for 1 Adult",10.0,-87.5
Afghanistan,Tennis Court Rent (1 Hour on Weekend),3.62,-87.5
Afghanistan,"Cinema, International Release, 1 Seat",2.84,-87.5
Afghanistan,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",28.06,-87.5
