"","cand_a_female","picked_cand_a","region","gender","age","college","race","pid","ideo","considerwoman","considerwoman_n","horserace","demnom","favdnc","favmetoo","favblm","favaoc","unfavfb","unfavwallst","longprim","funding","candstrong","candwarm","candhumble","candassert","candcomp","perormot","suppclean","billionbad","sdo","believe","moderate","liberal","progressive","socialist","womenoffend","followmost","urbanicity"
"1",FALSE,FALSE,"South",0,65,0,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Other",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,0,1,"Persuade Trump voters",FALSE,TRUE,4.5,"Presumption of innocence",0,0,1,0,FALSE,FALSE,"City"
"2",FALSE,FALSE,"Midwest",0,30,0,"White","Independent","Liberal/Very Liberal",FALSE,0,"Other",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","Don't know",1,0,0,1,1,"Persuade Trump voters",FALSE,TRUE,2.25,"Believe",0,0,0,0,FALSE,FALSE,"Rural or other"
"3",FALSE,TRUE,"West",1,64,1,"Hispanic","Democrat","Moderate",FALSE,0,"Other",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","Don't know",1,0,1,0,1,"Motivate base",TRUE,TRUE,4.25,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"City"
"4",TRUE,FALSE,"Northeast",0,71,1,"White","Independent","Moderate",FALSE,0,"Other",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,1,0,"Motivate base",FALSE,FALSE,5,"Presumption of innocence",1,0,0,0,FALSE,TRUE,"Rural or other"
"5",TRUE,TRUE,"South",0,68,1,"White","Democrat","Liberal/Very Liberal",TRUE,3,"Other",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Don't know","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,0,1,1,"Motivate base",TRUE,FALSE,3,"Believe",1,0,0,0,FALSE,TRUE,"City"
"6",TRUE,TRUE,"West",1,75,1,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Other",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,1,"Motivate base",TRUE,TRUE,2.25,"Not sure",0,1,1,0,FALSE,TRUE,"Rural or other"
"7",TRUE,FALSE,"West",0,72,1,"White","Democrat","Liberal/Very Liberal",FALSE,0,"Other",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,0,1,1,"Motivate base",TRUE,TRUE,5.5,"Believe",0,1,0,0,FALSE,TRUE,"Suburb"
"8",FALSE,TRUE,"Northeast",0,60,0,"White","Democrat","Liberal/Very Liberal",TRUE,3,"Harris",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,0,"Motivate base",TRUE,TRUE,2.5,"Believe",0,0,1,0,FALSE,TRUE,"Suburb"
"9",FALSE,FALSE,"South",0,79,1,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Harris",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Don't know","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,1,"Motivate base",TRUE,TRUE,3.5,"Believe",0,1,1,0,FALSE,TRUE,"City"
"10",TRUE,TRUE,"West",0,62,0,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Biden",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,1,0,1,"Motivate base",FALSE,FALSE,2.25,"Believe",0,0,1,0,TRUE,FALSE,"Rural or other"
"11",FALSE,TRUE,"Northeast",1,68,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Bernie",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,1,0,0,"Persuade Trump voters",TRUE,FALSE,1,"Presumption of innocence",0,1,1,0,FALSE,TRUE,"Rural or other"
"12",FALSE,TRUE,"South",1,54,1,"White","Independent","Moderate",TRUE,1,"Warren",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,1,"Don't know",FALSE,FALSE,4.25,"Presumption of innocence",1,0,0,0,FALSE,TRUE,"Rural or other"
"13",TRUE,FALSE,"Northeast",0,82,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Warren",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"Don't know","Don't know",1,0,0,0,0,"Motivate base",FALSE,FALSE,5.25,"Believe",0,1,0,0,FALSE,TRUE,"Suburb"
"14",FALSE,FALSE,"Midwest",1,65,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Other",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","Don't know",1,1,0,1,0,"Motivate base",TRUE,FALSE,2.5,"Believe",0,1,1,0,FALSE,TRUE,"Suburb"
"15",FALSE,TRUE,"West",1,67,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Bernie",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,1,0,0,"Motivate base",TRUE,FALSE,2.75,"Presumption of innocence",0,0,1,0,FALSE,TRUE,"Suburb"
"16",TRUE,FALSE,"West",1,70,1,"Other","Independent","Liberal/Very Liberal",FALSE,0,"Bernie",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",0,0,0,0,0,"Motivate base",TRUE,TRUE,1.5,"Not sure",0,1,1,0,TRUE,TRUE,"Rural or other"
"17",TRUE,FALSE,"Northeast",1,69,1,"White","Independent","Moderate",FALSE,0,"Bernie",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,1,"Persuade Trump voters",TRUE,FALSE,3.5,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"Rural or other"
"18",FALSE,FALSE,"South",0,49,1,"White","Independent","Liberal/Very Liberal",TRUE,1,"Warren",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,1,1,1,"Motivate base",TRUE,TRUE,2.25,"Believe",0,0,1,0,FALSE,FALSE,"Suburb"
"19",TRUE,TRUE,"Northeast",0,64,1,"White","Democrat","Liberal/Very Liberal",TRUE,3,"Biden",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,0,1,0,"Motivate base",TRUE,TRUE,2.5,"Believe",0,1,1,1,FALSE,TRUE,"Rural or other"
"20",TRUE,FALSE,"Midwest",0,74,0,"White","Democrat","Moderate",TRUE,2,"Harris",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",0,1,0,1,1,"Persuade Trump voters",TRUE,FALSE,5.5,"Believe",0,0,1,0,TRUE,TRUE,"Rural or other"
"21",FALSE,TRUE,"West",0,54,0,"White","Independent","Liberal/Very Liberal",TRUE,1,"Warren",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,1,0,"Motivate base",TRUE,TRUE,2,"Believe",0,1,1,0,FALSE,TRUE,"Rural or other"
"22",TRUE,TRUE,"Northeast",0,50,1,"White","Independent","Liberal/Very Liberal",TRUE,3,"Harris",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,0,1,0,"Motivate base",FALSE,TRUE,2.75,"Believe",0,1,1,0,FALSE,TRUE,"Suburb"
"23",FALSE,TRUE,"West",1,31,1,"Other","Independent","Moderate",FALSE,0,"Biden",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",0,1,1,0,1,"Motivate base",TRUE,TRUE,6.25,"Presumption of innocence",1,0,0,0,FALSE,FALSE,"Suburb"
"24",TRUE,TRUE,"West",1,72,0,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Warren",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,0,1,0,"Motivate base",TRUE,FALSE,4.5,"Believe",0,1,1,0,FALSE,FALSE,"Suburb"
"25",FALSE,FALSE,"South",1,72,0,"White","Independent","Moderate",TRUE,4,"Pete",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,1,0,1,"Motivate base",TRUE,FALSE,1.75,"Presumption of innocence",1,1,1,0,FALSE,TRUE,"Rural or other"
"26",FALSE,FALSE,"Midwest",0,48,1,"White","Democrat","Liberal/Very Liberal",TRUE,4,"Other",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,0,1,0,"Motivate base",TRUE,TRUE,4.75,"Believe",0,1,1,1,FALSE,TRUE,"City"
"27",FALSE,TRUE,"Midwest",0,43,0,"White","Democrat","Liberal/Very Liberal",TRUE,3,"Pete",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,1,0,"Motivate base",TRUE,TRUE,1,"Believe",0,1,0,0,FALSE,TRUE,"City"
"28",FALSE,FALSE,"Midwest",0,56,0,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Warren",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,1,0,"Motivate base",TRUE,TRUE,2,"Believe",0,1,1,1,TRUE,TRUE,"Rural or other"
"29",FALSE,TRUE,"West",1,54,0,"White","Independent","Moderate",TRUE,3,"Biden",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,1,1,"Motivate base",TRUE,FALSE,6,"Presumption of innocence",1,0,1,0,FALSE,TRUE,"Suburb"
"30",FALSE,FALSE,"Midwest",0,54,1,"White","Democrat","Liberal/Very Liberal",TRUE,1,"Biden",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Don't know","Don't know",0,0,1,0,0,"Persuade Trump voters",TRUE,FALSE,3.75,"Believe",0,1,0,0,FALSE,FALSE,"Suburb"
"31",TRUE,TRUE,"West",1,75,0,"Black","Democrat","Moderate",TRUE,2,"Harris",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Don't know","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,1,0,1,"Motivate base",TRUE,TRUE,2,"Presumption of innocence",0,1,0,0,FALSE,TRUE,"City"
"32",TRUE,FALSE,"West",1,33,0,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Pete",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Don't know","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,0,0,0,"Motivate base",TRUE,TRUE,1.5,"Not sure",0,1,1,1,FALSE,TRUE,"Suburb"
"33",TRUE,TRUE,"Midwest",0,45,0,"Other","Democrat","Moderate",FALSE,0,"Bernie",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,0,1,1,1,"Don't know",FALSE,FALSE,3.75,"Believe",0,0,0,0,FALSE,FALSE,"Suburb"
"34",TRUE,TRUE,"South",0,71,1,"Black","Democrat","Liberal/Very Liberal",TRUE,2,"Biden",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Don't know","Don't know",1,1,1,0,1,"Persuade Trump voters",FALSE,TRUE,4.75,"Presumption of innocence",0,1,0,0,FALSE,TRUE,"City"
"35",FALSE,FALSE,"Midwest",0,65,0,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Warren",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","Don't know",1,0,0,1,0,"Motivate base",TRUE,TRUE,2.75,"Believe",0,0,1,0,FALSE,TRUE,"Rural or other"
"36",TRUE,TRUE,"West",0,49,1,"White","Democrat","Liberal/Very Liberal",TRUE,2,"Other",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,0,1,1,"Persuade Trump voters",TRUE,TRUE,1.25,"Believe",0,1,1,1,FALSE,TRUE,"Rural or other"
"37",FALSE,FALSE,"South",1,61,0,"White","Democrat","Moderate",TRUE,3,"Biden",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by publicity stunts. Democratic candidates should welcome campaign spending from donors large and small, including Super PACs",1,1,1,0,0,"Motivate base",FALSE,TRUE,1.25,"Not sure",1,0,0,0,FALSE,TRUE,"Suburb"
"38",TRUE,TRUE,"West",0,65,0,"Black","Democrat","Moderate",TRUE,1,"Other",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Long primary election campaigns among Democrats weaken the eventual nominee","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,0,0,0,1,"Persuade Trump voters",FALSE,FALSE,5.25,"Believe",1,0,0,0,FALSE,FALSE,"Suburb"
"39",TRUE,FALSE,"West",1,63,1,"Other","Independent","Liberal/Very Liberal",TRUE,4,"Warren",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Long primary election campaigns ensure the strongest Democrats emerge to advance the party’s agenda","The Democratic agenda is too important to be undercut by wealthy interests. Democratic candidates should refuse help from Super PACs",1,1,0,0,0,"Motivate base",FALSE,TRUE,1.5,"Believe",0,0,1,0,FALSE,TRUE,"Suburb"
"40",FALSE,TRUE,"South",0,47,0,"White","Democrat","Moderate",FALSE,0,"Biden",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Don't know","Don't know",1,0,0,0,1,"Persuade Trump voters",FALSE,FALSE,3.25,"Believe",0,0,0,0,TRUE,FALSE,"Suburb"
