lname,stateab,party
SESSIONS,AL,200
SHELBY,AL,200
MURKOWSKI,AK,200
STEVENS,AK,200
KYL,AZ,200
MCCAIN,AZ,200
BUMPERS,AR,100
HUTCHINSON,AR,200
BOXER,CA,100
FEINSTEIN,CA,100
ALLARD,CO,200
CAMPBELL,CO,200
DODD,CT,100
LIEBERMAN,CT,100
BIDEN,DE,100
ROTH,DE,200
GRAHAM,FL,100
MACK,FL,200
CLELAND,GA,100
COVERDELL,GA,200
AKAKA,HI,100
INOUYE,HI,100
CRAIG,ID,200
KEMPTHORNE,ID,200
DURBIN,IL,100
MOSELEYBRAUN,IL,100
COATS,IN,200
LUGAR,IN,200
GRASSLEY,IA,200
HARKIN,IA,100
BROWNBACK,KS,200
ROBERTS,KS,200
FORD,KY,100
MCCONNELL,KY,200
BREAUX,LA,100
LANDRIEU,LA,100
COLLINS,ME,200
SNOWE,ME,200
MIKULSKI,MD,100
SARBANES,MD,100
KENNEDY,MA,100
KERRY,MA,100
ABRAHAM,MI,200
LEVIN,MI,100
GRAMS,MN,200
WELLSTONE,MN,100
COCHRAN,MS,200
LOTT,MS,200
ASHCROFT,MO,200
BOND,MO,200
BAUCUS,MT,100
BURNS,MT,200
HAGEL,NE,200
KERREY,NE,100
BRYAN,NV,100
REID,NV,100
GREGG,NH,200
SMITH,NH,200
LAUTENBERG,NJ,100
TORRICELLI,NJ,100
BINGAMAN,NM,100
DOMENICI,NM,200
DAMATO,NY,200
MOYNIHAN,NY,100
FAIRCLOTH,NC,200
HELMS,NC,200
CONRAD,ND,100
DORGAN,ND,100
DEWINE,OH,200
GLENN,OH,100
INHOFE,OK,200
NICKLES,OK,200
SMITH,OR,200
WYDEN,OR,100
SANTORUM,PA,200
SPECTER,PA,200
CHAFEE,RI,200
REED,RI,100
HOLLINGS,SC,100
THURMOND,SC,200
DASCHLE,SD,100
JOHNSON,SD,100
FRIST,TN,200
THOMPSON,TN,200
GRAMM,TX,200
HUTCHISON,TX,200
BENNETT,UT,200
HATCH,UT,200
JEFFORDS,VT,200
LEAHY,VT,100
ROBB,VA,100
WARNER,VA,200
GORTON,WA,200
MURRAY,WA,100
BYRD,WV,100
ROCKEFELLER,WV,100
FEINGOLD,WI,100
KOHL,WI,100
ENZI,WY,200
THOMAS,WY,200
